economy,pc_tmp,tmp,lgt,daylt,choice,plug
0,-1,5,0.4,25,0,0
-950,-2,2,0,25,0,0
-5000,0,4,0.5,25,0,0
-6500,-1,0,-0.55,25,1,0
9800,0,2,-0.2,25,1,0
500,3,-6,-0.55,25,1,0
-9900,2,-2,-0.35,25,1,0
-150,2,-5,-0.4,25,1,0
-6000,-2,2,0,20,0,0
-1800,-1,-4,0,20,1,0
-1000,2,2,0.3,20,0,0
-9900,-1,5,-0.15,20,0,0
-2000,0,2,-0.2,20,0,0
300,0,-2,-0.2,20,1,0
1950,1,3,0.4,20,0,0
-5000,2,2,-0.3,20,0,0
-800,2,3,0.5,35,0,0
0,-3,4,0,35,0,0
2000,2,1,0.7,35,0,0
-1900,1,-2,0.5,35,0,0
-3000,2,-4,0,35,1,0
-9950,-1,0,-0.2,35,1,0
-50,1,1,-0.7,35,0,0
6800,-2,4,-0.2,35,0,0
-1900,0,0,-0.5,25,0,0
-450,1,0,0.2,25,0,0
-9000,0,2,-0.35,25,0,0
50,2,-1,0.7,25,0,0
9500,0,-3,0,25,1,0
0,-2,-6,-0.2,25,1,0
9800,0,2,-0.4,25,1,0
4000,1,-2,0,25,1,0
-450,-1,0,0.55,30,0,0
-9500,0,2,0,30,0,0
1800,0,0,0,30,1,0
500,-1,-3,-0.2,30,1,0
0,-3,-3,-0.35,30,1,0
150,3,0,0,30,1,0
300,-1,-2,-0.15,30,1,0
6000,-1,-6,0.5,30,1,0
-9500,1,-2,-0.5,31,0,0
0,0,4,0.15,31,0,0
900,-1,2,0.2,31,0,0
-6000,0,-1,0.2,31,0,0
4800,0,0,-0.5,31,1,0
800,1,3,-0.3,31,1,0
-6000,2,2,0.5,31,0,0
100,-3,0,0.2,31,0,0
6900,-1,-2,0.15,30,1,0
9500,-3,3,0.35,30,0,0
9900,2,3,0.2,30,0,0
5000,-1,1,-0.15,30,1,0
-8000,1,1,0,30,1,0
6900,0,0,0.55,30,1,0
-4500,-2,-3,0.55,30,1,0
3000,1,5,0,30,0,0
150,0,5,0,10,0,0
1800,0,0,-0.35,10,1,0
3000,2,0,0,10,0,0
3000,-1,-7,0.7,10,0,0
-950,-3,-2,0,10,0,0
400,-1,-3,0,10,1,0
800,-2,0,-0.3,10,1,0
0,0,2,0.35,10,0,0
-9500,2,2,0.15,2,0,0
9900,-2,0,-0.55,2,1,0
4900,0,5,0,2,0,0
800,1,-5,0,2,1,0
-1500,-2,-4,-0.4,2,1,0
9800,3,5,0,2,0,0
4000,0,-2,-0.5,2,1,0
0,-2,3,0,2,0,0
-950,0,-1,-0.2,51,1,0
0,2,5,-0.2,51,0,0
400,0,2,0.7,51,0,0
-50,1,-4,0.4,51,1,0
2000,-1,3,-0.15,51,0,0
9800,0,4,-0.2,51,0,0
-100,0,3,-0.3,51,0,0
-5000,0,-2,0,51,1,0
-1950,-2,-3,0.55,5,0,0
0,3,1,-0.35,5,1,0
6000,0,3,-0.3,5,0,0
6000,0,1,-0.4,5,0,0
6900,2,-5,-0.4,5,1,0
-2000,-1,-3,-0.5,5,0,0
9500,-2,3,0.3,5,1,0
0,2,6,0.4,5,0,0
4950,1,-2,-0.5,45,1,0
-6900,-1,6,0.4,45,1,0
3000,-1,-4,-0.2,45,1,0
-6800,0,-1,-0.4,45,1,0
9800,1,-2,0.5,45,1,0
-4500,-1,-2,-0.15,45,0,0
-3000,1,0,0,45,1,0
4800,0,-3,-0.4,45,1,0
0,-2,-2,0,11,1,0
-500,-2,-4,0,11,0,0
0,-1,-1,0,11,1,0
9800,1,1,-0.7,11,1,0
1900,-2,0,0.55,11,0,0
-9950,0,0,-0.7,11,1,0
-5000,1,-3,0.15,11,1,0
6000,0,-2,-0.5,11,1,0
450,-1,0,0,31,1,0
4950,0,5,-0.15,31,0,0
-5000,2,2,0.4,31,0,0
-4900,-1,1,-0.5,31,0,0
9000,-3,3,-0.4,31,1,0
-1950,2,-1,0.15,31,1,0
-150,2,7,0.2,31,0,0
-8000,0,0,-0.15,31,0,0
5000,-1,3,0.7,50,1,0
0,-2,0,-0.5,50,0,0
-100,1,2,0.15,50,0,0
3000,1,-1,-0.15,50,1,0
-9500,2,2,-0.4,50,0,0
-1000,-1,1,-0.2,50,0,0
9000,0,-2,0.3,50,1,0
-9800,-1,4,-0.35,50,0,0
100,2,1,-0.15,34,0,0
-1000,0,-3,0.4,34,1,0
0,-2,5,-0.7,34,0,0
-300,0,-2,0.55,34,1,0
-4800,0,3,0.7,34,0,0
4000,0,3,-0.2,34,0,0
5000,0,-1,0.2,34,1,0
6000,1,1,-0.15,34,0,0
0,3,-3,-0.15,40,1,0
-5000,0,0,0,40,0,0
-5000,-1,4,0,40,0,0
0,0,4,0,40,0,0
-4500,2,-2,0.15,40,1,0
-450,-3,-6,0,40,1,0
2000,0,-3,0,40,1,0
-4800,3,0,0,40,1,0
0,-3,5,0,30,0,0
-900,2,-3,-0.2,30,0,0
6500,-1,-2,0,30,1,0
-1950,-1,-2,-0.4,30,0,0
-800,-2,-4,0,30,0,0
900,0,3,0.35,30,1,0
9000,1,-4,0.55,30,1,0
4800,-2,3,-0.15,30,1,0
-1500,2,-1,-0.2,31,0,0
9900,3,-4,0,31,1,0
-5000,-2,3,0.4,31,0,0
-1900,0,-1,0.3,31,0,0
0,0,-3,0,31,1,0
0,-1,0,-0.2,31,0,0
9000,2,0,0.15,31,1,0
-6950,1,4,0.4,31,0,0
-1900,0,1,0.15,30,0,0
2000,-2,1,-0.15,30,0,0
9000,0,2,-0.15,30,0,0
9800,2,6,-0.4,30,0,0
6000,2,-1,0.4,30,1,0
3000,3,-1,0.3,30,1,0
4800,-1,0,0.7,30,1,0
-6000,1,-5,0,30,1,0
-6900,0,-1,0.55,9,1,0
-950,1,-1,0.2,15,0,0
-9800,0,1,0,15,0,0
-500,-2,-1,0,15,0,0
-1800,0,-1,0,15,0,0
-9900,0,0,-0.2,15,1,0
1000,1,2,-0.15,15,0,0
-4900,-1,-7,0,15,0,0
3000,1,2,0,15,0,0
4950,2,-3,-0.2,13,1,0
-6900,-1,1,0.55,13,0,0
-800,-2,-4,0,13,1,0
4900,0,-3,-0.15,13,1,0
-4900,2,4,0,13,0,0
-3000,-1,1,0.35,13,0,0
-5000,2,2,-0.4,13,1,0
0,-1,-1,-0.15,13,1,0
-9900,2,-1,0,20,0,0
-6500,-1,6,0.2,20,0,0
-6500,2,3,0.3,20,0,0
800,2,1,0.35,20,0,0
-1900,-1,3,-0.3,20,0,0
6000,1,0,-0.55,20,1,0
-450,1,-1,-0.15,20,1,0
-950,-2,-5,-0.2,20,1,0
4000,2,1,0.35,62,1,0
-300,2,2,-0.2,62,0,0
2000,3,1,0,62,1,0
-8000,2,-2,0,62,0,0
800,3,1,0.15,62,1,0
4500,1,-2,0,62,1,0
9000,2,-2,0,62,1,0
8000,-1,1,0.2,62,0,0
-1000,-1,1,-0.7,60,0,0
300,3,5,-0.2,60,0,0
-1000,3,6,-0.3,60,0,0
4900,2,-4,0.4,60,1,0
9500,2,-2,-0.55,60,1,0
-6500,2,0,0.15,60,0,0
-3000,-2,-6,0,60,1,0
-4900,1,-4,-0.3,60,0,0
-50,0,-1,0.2,40,0,0
6900,-3,0,-0.2,40,0,0
4000,-1,-2,0.55,40,1,0
-2000,0,3,0,40,0,0
9500,0,1,-0.55,40,0,0
450,0,1,-0.15,40,1,0
3000,-1,0,0.5,40,0,0
0,0,-6,0,40,1,0
3000,0,-3,0.3,30,1,0
300,2,-1,0,30,1,0
-6800,2,-4,-0.15,30,0,0
-2000,-1,3,0.4,30,0,0
0,1,1,0,30,0,0
-9950,2,-1,0,30,0,0
-9000,0,-4,0.5,30,0,0
8000,0,-5,0,30,1,0
0,1,5,0,20,0,0
9950,-3,2,0.7,20,0,0
-1950,-3,-1,0.2,20,0,0
9000,-2,5,-0.15,20,1,0
4500,-1,-2,0.4,20,1,0
4800,2,-1,0.7,20,0,0
0,2,-1,0.5,20,0,0
-6800,-2,0,0.2,20,0,0
-400,-3,2,0,21,0,0
-4800,2,1,0,21,1,0
8000,2,5,0.2,21,0,0
-4000,2,1,-0.5,21,1,0
4950,1,1,0,21,0,0
-4950,-2,6,0,21,1,0
-6950,0,1,-0.2,21,1,0
950,1,-3,0.15,21,1,0
-4800,-2,-5,0.35,15,1,0
-9000,0,-4,-0.55,15,1,0
-900,1,0,0,15,0,0
9500,-3,-2,0,15,1,0
1950,-2,-2,0,15,1,0
4950,0,-3,0.2,15,1,0
150,0,1,-0.3,15,1,0
-9500,-1,-2,0.35,15,1,0
-1800,3,-2,0.35,30,0,0
-50,2,-3,-0.2,30,0,0
-1800,0,5,-0.2,30,0,0
-6900,3,1,-0.35,30,0,0
0,-1,5,-0.4,30,1,0
400,-1,4,0.35,30,1,0
-9800,2,-5,-0.5,30,0,0
6800,-3,-3,0.2,30,0,0
4800,-2,1,-0.2,50,0,0
4000,-3,-4,-0.2,50,1,0
6000,1,0,0,50,1,0
-500,-2,-7,-0.2,50,1,0
6000,-1,-3,0.15,50,1,0
2000,-1,5,0.7,50,0,0
-9500,0,-3,0.55,50,0,0
900,1,3,0,50,1,0
2000,1,-2,0.55,70,1,0
500,-2,2,-0.55,70,0,0
0,-2,0,-0.2,70,0,0
9900,2,-1,0.5,70,1,0
6900,0,2,-0.55,70,0,0
-6950,2,1,0.2,70,1,0
0,0,2,0.15,70,1,0
0,-1,-6,-0.2,70,0,0
1000,-1,0,-0.35,80,0,0
50,1,-2,-0.4,80,0,0
6500,-1,5,0,80,0,0
0,0,5,-0.15,80,0,0
-450,3,3,-0.3,80,0,0
-1950,0,-1,-0.15,80,0,0
-6000,-1,-5,-0.35,80,0,0
4900,-1,1,0.7,80,1,0
2000,0,1,0.2,1,1,0
0,-1,3,0,1,0,0
-2000,2,-2,0,1,1,0
6950,-2,1,0,1,1,0
-150,0,-1,0.5,1,0,0
9900,0,6,-0.15,1,1,0
-1800,0,2,0.35,1,0,0
-4950,-3,-3,0,1,0,0
-6950,-1,-2,0.15,30,0,0
4900,-2,-2,-0.4,30,1,0
-6800,1,0,0.15,30,0,0
-50,1,-2,0.15,30,0,0
1000,0,-2,-0.5,30,1,0
300,0,-4,0.3,30,1,0
-4800,0,-3,-0.3,30,0,0
-6800,1,-2,0.15,30,0,0
0,2,3,0,21,1,0
1950,-2,1,0.55,21,1,0
9950,0,-1,-0.4,21,0,0
-6900,-2,-4,0.5,21,0,0
-900,-2,0,0.7,21,1,0
0,3,1,0.15,21,1,0
1500,0,-2,0.5,21,1,0
-4800,1,-4,0,21,0,0
-1000,1,-2,0.35,2,1,0
-4900,-1,4,0,2,0,0
5000,-1,-2,0.7,2,1,0
-800,-1,5,0,2,0,0
-6950,0,0,-0.7,2,0,0
900,1,-4,0.15,2,1,0
9950,0,3,-0.3,2,0,0
100,-3,0,-0.15,2,0,0
0,-2,3,-0.35,20,1,0
-450,-2,-5,0.7,20,0,0
-5000,0,-4,-0.35,20,0,0
-5000,-1,1,-0.5,20,0,0
-2000,-2,-4,0.5,20,1,0
-4500,1,1,0,20,1,0
4900,2,-2,0.4,20,0,0
-100,0,1,-0.55,20,1,0
-6500,0,-1,-0.7,20,0,0
450,2,2,-0.5,20,0,0
-6900,0,-1,0,20,0,0
6500,0,2,0,20,1,0
-4000,1,-2,-0.5,20,0,0
-1500,-2,0,0,20,0,0
150,3,6,-0.4,20,0,0
-8000,-1,0,0,20,0,0
6950,0,-5,-0.2,30,1,0
-4900,1,0,-0.4,30,0,0
-150,1,-1,0,30,0,0
-500,-2,-1,0.3,30,1,0
-9000,0,3,0.2,30,0,0
300,-1,-1,0.3,30,1,0
-4900,1,6,-0.5,30,0,0
0,1,-1,-0.15,30,0,0
300,0,-5,0.15,12,1,0
-4950,-3,-2,0.3,12,1,0
500,0,6,-0.3,12,1,0
-6000,1,4,0,12,0,0
4800,-2,-2,-0.55,12,1,0
3000,0,1,0.35,12,0,0
-4000,1,-4,0.2,12,1,0
4000,-3,6,0,12,1,0
-1950,0,-2,0,30,0,0
-450,-3,-1,0,30,1,0
9950,0,1,0.3,30,1,0
5000,0,-3,0,30,1,0
-2000,-2,0,-0.7,30,0,0
-500,-2,-5,0.35,30,1,0
-100,-1,1,0.2,30,1,0
6000,-3,0,0,30,1,0
4500,-1,-5,-0.15,11,0,0
-4900,0,5,0.4,11,1,0
50,-1,0,0.7,11,0,0
-9800,1,-1,-0.55,11,1,0
-500,3,-6,0,11,0,0
-800,-1,-2,-0.15,11,0,0
-1800,0,-2,0.2,11,0,0
-4900,1,1,0.55,11,0,0
-9000,0,-1,-0.35,30,0,0
0,1,0,-0.35,30,0,0
4000,-2,1,0.2,30,1,0
-4000,0,0,-0.15,30,0,0
4800,1,2,0.2,30,1,0
-4900,1,0,-0.4,30,0,0
0,2,1,0,30,0,0
-900,1,4,-0.5,30,0,0
-3000,0,1,0.15,5,1,0
-2000,0,5,0.15,5,1,0
3000,1,-2,-0.2,5,0,0
-6500,0,-1,-0.5,5,0,0
0,-2,-5,-0.5,5,1,0
0,2,0,0.5,5,0,0
-150,-3,0,0.35,5,1,0
6950,1,-2,-0.15,5,1,0
5000,-1,-3,0.2,49,1,0
-3000,2,-4,0.55,49,1,0
-9950,0,2,-0.35,49,0,0
0,2,3,0,49,0,0
-6900,0,-1,0.5,49,0,0
-9800,1,3,0,49,0,0
0,-1,0,-0.7,49,1,0
-400,2,-1,-0.15,49,1,0
1800,-2,-4,0.2,50,0,0
-1900,2,2,0.55,50,1,0
4800,-2,-4,0,50,0,0
-100,0,0,0.4,50,1,0
0,-2,0,-0.3,50,0,0
950,0,-1,-0.2,50,1,0
5000,-2,-5,0,50,0,0
-1900,0,-3,0.3,50,0,0
6000,-3,-1,0.7,8,0,0
9800,2,0,-0.5,8,1,0
4800,1,-1,-0.15,8,1,0
9900,-2,-1,0.35,8,0,0
9950,-2,4,0.4,8,0,0
-4900,-3,-1,-0.55,8,1,0
-4000,0,0,0.35,8,0,0
0,0,-4,0,50,0,0
5000,0,2,0,50,1,0
4900,2,5,-0.5,50,1,0
-950,1,0,0.5,50,0,0
0,2,0,0.15,50,1,0
-8000,0,-1,0.2,50,0,0
0,-1,-2,0.2,50,1,0
-4950,0,3,-0.3,50,0,0
-1950,-1,1,-0.3,5,0,0
-150,-1,-4,0,5,1,0
4000,-3,-4,-0.3,5,1,0
-900,-1,4,-0.35,5,0,0
9900,3,-1,-0.55,5,1,0
-6900,-2,-4,-0.55,5,1,0
6000,0,1,-0.7,5,1,0
-300,1,5,0.4,5,0,0
-300,0,-1,-0.7,30,0,0
150,0,2,0.15,30,1,0
0,-3,0,0.15,30,0,0
-4500,3,0,-0.35,30,0,0
0,1,-1,0.2,30,1,0
-4500,2,4,0.2,30,0,0
-4800,1,-2,0.55,30,0,0
1000,-3,3,0.7,30,0,0
-400,-1,5,0.55,48,0,0
-50,0,1,-0.15,48,0,0
9500,-2,-2,-0.2,48,1,0
1950,0,1,0,48,1,0
-8000,-1,4,-0.55,48,0,0
1900,3,0,0,48,1,0
9800,2,1,0,48,1,0
0,-1,0,0,48,1,0
3000,-1,0,-0.7,14,1,0
-900,2,0,-0.35,14,1,0
4000,2,-4,-0.2,14,1,0
0,2,1,-0.15,14,1,0
5000,-2,-3,-0.35,14,1,0
1500,-2,0,0.5,14,0,0
5000,1,0,0,14,1,0
6900,1,-2,-0.3,14,1,0
-1950,1,1,0.4,5,0,0
6800,-1,0,0.5,5,0,0
0,2,-3,0.3,5,1,0
500,-2,0,-0.7,5,1,0
-6000,1,0,0,5,0,0
0,2,4,0,5,0,0
-800,3,0,-0.35,5,1,0
-3000,-1,3,-0.5,5,1,0
-500,0,-1,0.5,31,0,0
6500,1,3,0.5,31,0,0
1000,2,1,-0.4,31,1,0
-3000,-2,-4,0.2,31,1,0
-150,-2,2,-0.15,31,0,0
4800,-1,1,0.15,31,0,0
-5000,2,-3,0,31,1,0
-9000,-2,-2,0.7,31,0,0
1950,-1,-4,0.2,30,1,0
4900,2,1,0.5,30,1,0
0,-1,3,0,30,0,0
-500,0,-2,0.35,30,1,0
-400,0,-4,0,30,1,0
9500,2,3,0,30,0,0
0,0,0,-0.4,30,0,0
-9500,1,-1,0,30,0,0
0,1,-3,-0.15,55,1,0
4950,3,-1,-0.35,55,1,0
-8000,0,-1,-0.5,55,0,0
3000,-1,2,0.2,55,0,0
-900,1,1,-0.7,55,0,0
800,-2,0,0,55,1,0
-1500,-1,1,0.5,55,0,0
50,-2,-6,-0.2,55,0,0
4800,0,2,0.5,20,0,0
-400,1,-1,0,20,0,0
-950,2,-2,-0.5,20,1,0
800,3,5,-0.35,20,0,0
0,2,2,-0.4,20,1,0
1500,3,0,-0.35,20,1,0
-1800,1,1,0,20,0,0
-9800,1,-2,0,20,0,0
-400,1,-4,0.4,40,0,0
100,-2,1,-0.55,40,0,0
-3000,1,0,-0.4,40,1,0
0,2,6,0.5,40,0,0
6950,-1,3,0,40,1,0
4000,-2,0,-0.2,40,1,0
5000,-1,0,0,40,0,0
-300,-1,-3,0,40,0,0
-6950,-2,-1,0.2,33,0,0
9950,0,4,-0.2,33,1,0
-450,0,-3,-0.55,33,0,0
50,-2,1,-0.5,33,1,0
-950,-3,0,0.55,33,0,0
100,-2,1,0.55,33,0,0
1000,0,-2,-0.7,33,1,0
0,1,1,0.3,33,0,0
-500,1,2,-0.3,50,0,0
0,0,1,0.3,50,0,0
0,3,-1,0.3,50,0,0
4000,0,6,-0.2,50,1,0
-9950,0,1,0.5,50,0,0
-3000,0,2,0.7,50,0,0
-150,-1,0,0.35,50,0,0
4800,0,1,0,50,1,0
9000,-2,2,0,19,0,0
1800,2,-5,0.55,19,1,0
1900,0,5,-0.15,19,0,0
-9000,0,4,0.55,19,0,0
8000,0,6,-0.15,19,1,0
0,0,-1,-0.2,19,0,0
0,1,4,0.55,19,1,0
9500,-1,-3,-0.3,19,1,0
-1800,2,-1,0,21,0,0
-4000,1,-1,-0.2,21,0,0
50,1,3,0.2,21,0,0
1500,0,0,0.55,21,1,0
1900,-1,-3,0.55,21,1,0
8000,1,-4,-0.7,21,1,0
9800,0,2,0.15,21,1,0
-6000,1,-5,-0.55,21,0,0
-300,-2,-3,-0.15,20,1,0
-400,0,0,0.3,20,0,0
6500,3,6,0.55,20,0,0
9500,-2,0,0,20,1,0
-9950,1,-1,0.15,20,0,0
-6950,-2,1,-0.3,20,0,0
0,-1,-2,0.15,20,1,0
50,2,2,0.55,20,0,0
-800,2,0,-0.4,21,1,0
9000,-1,4,-0.15,21,0,0
100,-2,4,-0.35,21,0,0
4500,1,-1,0,21,1,0
6950,2,3,-0.15,21,0,0
6500,0,2,0.15,21,0,0
5000,-1,2,-0.2,21,0,0
0,0,-3,-0.2,21,1,0
0,0,-4,-0.3,25,1,0
-1950,3,0,0,25,0,0
6900,1,-5,-0.15,25,0,0
-800,-2,-4,0.55,25,0,0
-2000,2,0,-0.2,25,0,0
-100,1,4,-0.3,25,0,0
-9800,1,1,-0.7,25,0,0
-6800,-1,4,0,25,0,0
-800,-3,2,0,18,0,0
9000,-1,6,-0.3,18,1,0
-1000,-1,1,0.5,18,0,0
-900,1,0,-0.15,18,0,0
-950,-3,-5,0.4,18,0,0
1900,-1,-2,0,18,1,0
1800,2,4,0.7,18,0,0
1950,2,-2,0,18,1,0
-400,0,-1,0.15,15,0,0
-950,1,3,0.2,15,0,0
450,1,-3,0.4,15,0,0
5000,1,-5,-0.35,15,1,0
9500,-3,-4,0,15,1,0
9000,2,-2,0,15,1,0
-150,1,0,0,15,0,0
1500,3,1,0.5,15,0,0
0,2,1,0.2,31,0,0
9900,-1,5,0.2,31,1,0
8000,-1,-1,-0.2,31,1,0
0,1,0,0.15,31,0,0
-300,3,-1,0.3,31,0,0
-6000,1,4,-0.2,31,0,0
9900,0,0,0.55,31,0,0
-9000,0,-3,-0.7,31,1,0
-9950,0,2,-0.7,20,0,0
300,0,-4,0.35,20,1,0
150,0,1,-0.5,20,0,0
900,-1,-4,0,20,1,0
-2000,1,-5,0.55,20,1,0
4800,0,-3,-0.15,20,1,0
6950,0,6,-0.15,20,0,0
-6950,0,-5,0.15,20,1,0
9800,1,-2,-0.2,25,1,0
-9000,-1,1,0,25,0,0
-800,0,1,0.55,25,0,0
-4800,0,6,0,25,0,0
-9950,-1,4,0.2,25,0,0
-1500,-1,0,-0.2,25,0,0
4500,1,2,0.35,25,1,0
300,0,2,-0.3,25,0,0
-9950,0,-5,-0.3,20,0,0
-900,2,0,0.15,20,1,0
-5000,3,7,-0.55,20,1,0
9950,-1,1,0,20,1,0
6500,-1,-1,0.15,20,1,0
100,-3,1,0,20,0,0
-3000,-1,0,0,20,0,0
-4000,-2,-3,0.5,20,0,0
950,-2,4,0,31,1,0
-500,-1,-1,0,31,1,0
6900,-3,-1,0.15,31,1,0
-900,2,0,0.15,31,0,0
1950,1,0,0,31,1,0
-150,2,-2,-0.3,31,1,0
-9950,-1,3,-0.35,31,0,0
-1950,-3,2,0.15,31,0,0
9800,2,5,0.4,20,0,0
0,1,-3,-0.5,20,1,0
1950,3,-4,-0.5,20,1,0
4500,-1,-1,0,20,1,0
